codigo_cola,anio,tipo,fabricante,modelo,motores,asientos,velocidad,tipo_motor
N11191,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11192,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11193,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11194,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11199,2006,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N111US,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N11206,2000,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N112US,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N113UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N114UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N11535,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11536,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11539,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11544,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11547,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11548,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11551,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N11565,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N117UW,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N118US,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N119US,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N1200K,1998,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1201P,1998,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N12109,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N12114,1995,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N12116,1996,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N12122,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12125,1998,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N12126,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12135,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12136,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12142,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12145,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12157,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12160,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12163,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12166,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12167,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12172,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12175,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12195,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N121DE,1987,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N121UW,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N12201,2006,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N12216,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N12218,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N12221,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N12225,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N12238,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N122US,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N123UW,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N124US,2000,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N12540,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12552,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12563,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12564,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12567,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12569,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N125UW,2009,Ala fija multimotor,AIRBUS,A320-214,2,182,NA,Turboventilador
N126UW,2009,Ala fija multimotor,AIRBUS,A320-214,2,182,NA,Turboventilador
N127UW,2010,Ala fija multimotor,AIRBUS,A320-214,2,182,NA,Turboventilador
N128UW,2010,Ala fija multimotor,AIRBUS,A320-214,2,182,NA,Turboventilador
N12900,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12921,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12922,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12924,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12957,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12967,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N12996,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13110,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N13113,1995,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N13118,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N13123,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N13124,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N13132,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N13133,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N13138,1999,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N13161,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N131EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N13202,2006,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N13248,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N132EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N133EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N134EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N13538,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13550,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13553,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13566,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N135EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N136DL,1991,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N136EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N13716,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N13718,1999,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N13750,1999,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N137DL,1991,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N137EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N138EV,2009,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N13903,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13908,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13913,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13914,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13949,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13955,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13956,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13958,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13964,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13965,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13968,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13969,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13970,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13975,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13978,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13979,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13988,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13989,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13992,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13994,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13995,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N13997,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14102,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14105,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14106,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14107,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14115,1995,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14116,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14117,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14118,1997,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14120,1997,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14121,1997,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N14125,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14143,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14148,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14153,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14158,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14162,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14168,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14171,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14173,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14174,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14177,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14179,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14180,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14186,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14188,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14198,2006,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14203,2006,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14204,2006,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N14214,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14219,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14228,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14230,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14231,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14237,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14242,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N14250,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N143DA,1998,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N14542,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14543,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14558,NA,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14562,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14568,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14570,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14573,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14629,1965,Ala fija multimotor,BOEING,737-524,2,149,NA,Turboventilador
N146PQ,2007,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N14704,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N14731,1999,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N147PQ,2007,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N14902,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14904,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14905,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14907,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14916,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14920,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14923,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14950,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14952,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14953,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14959,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14960,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14972,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14974,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14977,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14991,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14993,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N14998,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N1501P,1990,Ala fija multimotor,BOEING,767-3P6,2,290,NA,Turboventilador
N150UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N151UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N152DL,1990,Ala fija multimotor,BOEING,767-3P6,2,290,NA,Turboventilador
N152UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N153DL,1990,Ala fija multimotor,BOEING,767-3P6,2,290,NA,Turboventilador
N153PQ,2007,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N153UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N154DL,1991,Ala fija multimotor,BOEING,767-3P6,2,290,NA,Turboventilador
N154UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N15555,NA,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15572,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15574,NA,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N155DL,1991,Ala fija multimotor,BOEING,767-3P6,2,290,NA,Turboventilador
N155UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N156DL,1991,Ala fija multimotor,BOEING,767-3P6,2,290,NA,Turboventilador
N156UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N15710,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N15712,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N157UW,2013,Ala fija multimotor,AIRBUS,A321-211,2,199,NA,Turboventilador
N15910,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15912,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15973,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15980,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15983,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15985,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N15986,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N1602,1999,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1603,1999,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1604R,1999,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1605,1999,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N16065,1999,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1607B,2000,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1608,2000,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1609,2000,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1610D,2000,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N16112,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N1611B,2000,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1612T,2001,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N1613B,2001,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N16147,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N16149,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N16151,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N16170,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N16178,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N16183,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N161PQ,2008,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N161UW,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N16217,1998,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N16234,1999,Ala fija multimotor,BOEING,737-824,2,149,NA,Turboventilador
N162PQ,2008,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N162UW,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N163US,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N16541,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16546,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16559,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16561,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16571,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N165US,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N166PQ,2008,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N16701,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N16703,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N16709,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N16713,1998,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N16732,1999,Ala fija multimotor,BOEING,737-724,2,149,NA,Turboreactor
N167US,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N168AT,2004,Ala fija multimotor,BOEING,737-76N,2,149,NA,Turboventilador
N16911,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16918,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16919,2001,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16951,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16954,1998,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16961,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16963,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16976,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16981,1999,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16987,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N16999,2000,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N169AT,2004,Ala fija multimotor,BOEING,737-76N,2,149,NA,Turboventilador
N169DZ,1998,Ala fija multimotor,BOEING,767-332,2,330,NA,Turboventilador
N169UW,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N170PQ,2008,Ala fija multimotor,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turboventilador
N170US,2001,Ala fija multimotor,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turboreactor
N17104,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N17105,1994,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N17108,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N17115,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N17122,1997,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N17126,1998,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N17128,1998,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N17133,1998,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
N17138,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N17139,2000,Ala fija multimotor,BOEING,757-224,2,178,NA,Turboreactor
