anio	estado_civil	edad	raza	ingreso	partido	religion	denominacion	horas_tv
2000	Viudo	83	Blanca	No aplica	Fuertemente demócrata	Protestante	Episcopal	NA
2000	Viudo	89	Blanca	No aplica	No fuertemente demócrata	Protestante	Otras luteranas	4
2000	Viudo	88	Blanca	No aplica	Fuertemente republicano	Protestante	Iglesia africana metodista episcopal de Sion	NA
2000	Divorciado	72	Blanca	No aplica	Fuertemente demócrata	Protestante	Bautistas del sur	7
2000	Viudo	82	Blanca	No aplica	Independiente	Protestante	Iglesias bautistas de EEUU	NA
2000	Viudo	89	Blanca	No aplica	Ind, pro rep	Protestante	Otras metodistas	3
2000	Casado	34	Blanca	Se niega a responder	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	55	Negra	No aplica	No fuertemente demócrata	Protestante	Otra	1
2000	Nunca se ha casado	37	Blanca	25000 o más	Independiente	Ninguna	No aplica	NA
2000	Casado	22	Blanca	10000 - 14999	Ind, pro dem	Protestante	Otra	NA
2000	Nunca se ha casado	33	Otra	20000 - 24999	No fuertemente demócrata	Cristiana	No aplica	NA
2000	Nunca se ha casado	37	Blanca	25000 o más	Ind, pro dem	Ninguna	No aplica	1
2000	Nunca se ha casado	43	Blanca	20000 - 24999	Independiente	Católica	No aplica	4
2000	Nunca se ha casado	29	Blanca	25000 o más	Ind, pro rep	Católica	No aplica	2
2000	Nunca se ha casado	57	Blanca	Se niega a responder	Fuertemente republicano	Protestante	Bautistas del sur	1
2000	Casado	31	Blanca	20000 - 24999	Ind, pro dem	Ninguna	No aplica	2
2000	Casado	45	Blanca	25000 o más	Independiente	Católica	No aplica	NA
2000	Divorciado	36	Negra	15000 - 19999	Fuertemente demócrata	Ninguna	No aplica	NA
2000	Nunca se ha casado	52	Blanca	No aplica	Ind, pro dem	Otra	No aplica	1
2000	Nunca se ha casado	26	Blanca	25000 o más	Ind, pro rep	Ninguna	No aplica	1
2000	Nunca se ha casado	46	Blanca	10000 - 14999	Fuertemente demócrata	Católica	No aplica	NA
2000	Casado	65	Blanca	25000 o más	Fuertemente republicano	Protestante	Bautistas del sur	1
2000	Casado	52	Blanca	3000 - 3999	Ind, pro rep	Protestante	Iglesia presbiteriana de los EEUU	4
2000	Casado	56	Blanca	25000 o más	No fuertemente republicano	Protestante	Episcopal	5
2000	Casado	66	Blanca	25000 o más	Fuertemente republicano	Protestante	Bautistas del sur	3
2000	Nunca se ha casado	20	Blanca	15000 - 19999	Fuertemente republicano	Protestante	Metodista, no sabe cuál	2
2000	Casado	64	Blanca	5000 - 5999	Fuertemente republicano	Protestante	Otra	NA
2000	Casado	59	Blanca	25000 o más	Fuertemente demócrata	Protestante	Otra	NA
2000	Casado	46	Blanca	No aplica	No fuertemente republicano	Protestante	No denominacional	3
2000	Casado	26	Otra	10000 - 14999	No fuertemente demócrata	Ninguna	No aplica	2
2000	Divorciado	39	Negra	No sabe	Independiente	Ninguna	No aplica	NA
2000	Divorciado	51	Blanca	20000 - 24999	Independiente	Protestante	Bautista, no sabe cuál	2
2000	Divorciado	45	Blanca	25000 o más	Ind, pro rep	Protestante	Bautistas del sur	2
2000	Nunca se ha casado	23	Blanca	1000 - 2999	Fuertemente demócrata	Protestante	Otra	0
2000	Nunca se ha casado	21	Blanca	No sabe	No fuertemente republicano	Protestante	Iglesia presbiteriana de los EEUU	NA
2000	Casado	26	Blanca	10000 - 14999	No fuertemente republicano	Protestante	Iglesia metodista unida	2
2000	Casado	31	Otra	25000 o más	No fuertemente republicano	Cristiana	No aplica	NA
2000	Nunca se ha casado	27	Negra	25000 o más	Fuertemente demócrata	Protestante	Iglesias bautistas de EEUU	4
2000	Divorciado	78	Blanca	No aplica	Ind, pro dem	Protestante	Bautistas del sur	4
2000	Nunca se ha casado	29	Blanca	10000 - 14999	Independiente	Ninguna	No aplica	NA
2000	Viudo	43	Negra	No aplica	Independiente	Ninguna	No aplica	3
2000	Divorciado	61	Blanca	25000 o más	Fuertemente republicano	Católica	No aplica	NA
2000	Casado	33	Blanca	No aplica	Fuertemente demócrata	Protestante	No denominacional	2
2000	Nunca se ha casado	34	Negra	15000 - 19999	Fuertemente demócrata	Protestante	Convención nacional bautista de EEUU	NA
2000	Nunca se ha casado	89	Blanca	No aplica	Independiente	Protestante	Iglesia luterana americana	2
2000	Viudo	83	Negra	No aplica	Fuertemente demócrata	Protestante	Iglesia metodista unida	12
2000	Viudo	78	Negra	No aplica	Fuertemente demócrata	Otra	No aplica	4
2000	Viudo	89	Negra	No aplica	Independiente	Protestante	Bautista, no sabe cuál	8
2000	Viudo	84	Negra	No aplica	Fuertemente demócrata	Protestante	Convención nacional baptista de america	NA
2000	Viudo	69	Negra	No aplica	No fuertemente demócrata	Protestante	Convención nacional baptista de america	4
2000	Nunca se ha casado	32	Negra	10000 - 14999	Ind, pro dem	Protestante	Convención nacional bautista de EEUU	5
2000	Viudo	76	Negra	No aplica	Fuertemente demócrata	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	41	Negra	No aplica	Fuertemente demócrata	Protestante	Convención nacional baptista de america	5
2000	Casado	32	Negra	25000 o más	Fuertemente demócrata	Católica	No aplica	2
2000	Nunca se ha casado	29	Negra	25000 o más	No fuertemente republicano	Protestante	Bautista, no sabe cuál	4
2000	Casado	40	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautistas del sur	1
2000	Casado	44	Blanca	3000 - 3999	No fuertemente republicano	Protestante	Sínodo luterano	NA
2000	Viudo	70	Negra	No aplica	Fuertemente demócrata	Católica	No aplica	2
2000	Casado	40	Negra	Se niega a responder	Ind, pro dem	Protestante	Otra	3
2000	Casado	51	Negra	3000 - 3999	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	NA
2000	Divorciado	75	Blanca	No aplica	Fuertemente demócrata	Protestante	Asociación bautista estadounidense	7
2000	Nunca se ha casado	22	Negra	20000 - 24999	Independiente	Protestante	Bautistas del sur	3
2000	Separado	53	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	1
2000	Nunca se ha casado	20	Blanca	10000 - 14999	Ind, pro dem	Católica	No aplica	2
2000	Viudo	80	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	8
2000	Viudo	70	Blanca	Se niega a responder	No fuertemente republicano	Católica	No aplica	NA
2000	Casado	45	Blanca	25000 o más	Independiente	Católica	No aplica	1
2000	Divorciado	46	Blanca	25000 o más	No fuertemente demócrata	Inter o no confesional	No aplica	2
2000	Nunca se ha casado	24	Blanca	15000 - 19999	Ind, pro dem	Católica	No aplica	3
2000	Nunca se ha casado	51	Blanca	20000 - 24999	No fuertemente republicano	Católica	No aplica	NA
2000	Nunca se ha casado	32	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	0
2000	Casado	53	Blanca	Se niega a responder	Independiente	Católica	No aplica	4
2000	Casado	52	Blanca	Menos de 1000	Ind, pro dem	Ninguna	No aplica	NA
2000	Viudo	83	Blanca	No aplica	No fuertemente republicano	Ninguna	No aplica	NA
2000	Divorciado	39	Blanca	Se niega a responder	Independiente	Ninguna	No aplica	0
2000	Casado	47	Blanca	Se niega a responder	No fuertemente demócrata	Protestante	Evangélica luterana	2
2000	Casado	45	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	NA
2000	Casado	48	Blanca	No aplica	Independiente	Ninguna	No aplica	2
2000	Casado	50	Otra	25000 o más	No fuertemente demócrata	Hinduismo	No aplica	NA
2000	Viudo	78	Blanca	No aplica	No fuertemente demócrata	Protestante	Iglesia metodista unida	NA
2000	Casado	45	Blanca	No aplica	Fuertemente republicano	Judía	No aplica	NA
2000	Divorciado	56	Blanca	Se niega a responder	No fuertemente demócrata	Judía	No aplica	3
2000	Divorciado	47	Blanca	25000 o más	Fuertemente demócrata	Judía	No aplica	1
2000	Casado	72	Blanca	25000 o más	Fuertemente demócrata	Judía	No aplica	4
2000	Nunca se ha casado	29	Otra	10000 - 14999	Ind, pro dem	Protestante	Iglesia presbiteriana de los EEUU	3
2000	Casado	26	Blanca	20000 - 24999	Ind, pro rep	Ninguna	No aplica	NA
2000	Casado	52	Negra	Se niega a responder	Fuertemente demócrata	Ninguna	No aplica	2
2000	Separado	39	Otra	Se niega a responder	No fuertemente demócrata	Nativa americana	No aplica	1
2000	Casado	30	Otra	25000 o más	No fuertemente demócrata	Ninguna	No aplica	1
2000	Nunca se ha casado	48	Negra	25000 o más	Independiente	Ninguna	No aplica	2
2000	Divorciado	62	Negra	25000 o más	Fuertemente demócrata	Protestante	Episcopal	NA
2000	Divorciado	57	Blanca	25000 o más	Ind, pro rep	Otra	No aplica	3
2000	Separado	60	Blanca	No aplica	Independiente	Católica	No aplica	3
2000	Casado	47	Blanca	10000 - 14999	Ind, pro rep	Católica	No aplica	5
2000	Viudo	55	Blanca	No aplica	No fuertemente republicano	Protestante	Episcopal	NA
2000	Separado	43	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	1
2000	Divorciado	31	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	44	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	NA
2000	Divorciado	40	Blanca	Sin respuesta	Ind, pro rep	Protestante	No denominacional	NA
2000	Nunca se ha casado	25	Blanca	No aplica	Independiente	Católica	No aplica	4
2000	Divorciado	37	Blanca	20000 - 24999	Independiente	Católica	No aplica	3
2000	Divorciado	56	Blanca	Se niega a responder	Independiente	Protestante	Otra	2
2000	Casado	28	Blanca	Se niega a responder	Independiente	Católica	No aplica	8
2000	Nunca se ha casado	36	Negra	No aplica	Fuertemente demócrata	Protestante	Metodista, no sabe cuál	12
2000	Nunca se ha casado	35	Negra	No aplica	Fuertemente demócrata	Protestante	Iglesia africana metodista episcopal	NA
2000	Nunca se ha casado	23	Blanca	3000 - 3999	Ind, pro dem	Protestante	Luterana, no sabe cuál	NA
2000	Casado	30	Blanca	10000 - 14999	Ind, pro dem	Cristiana	No aplica	NA
2000	Casado	32	Blanca	8000 - 9999	Ind, pro dem	Ninguna	No aplica	1
2000	Divorciado	50	Negra	10000 - 14999	Ind, pro dem	Inter o no confesional	No aplica	2
2000	Viudo	38	Negra	8000 - 9999	Ind, pro dem	Protestante	Bautista, no sabe cuál	NA
2000	Nunca se ha casado	31	Blanca	20000 - 24999	Ind, pro rep	Cristiana	No aplica	1
2000	Viudo	82	Negra	No aplica	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	4
2000	Divorciado	73	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	3
2000	Separado	57	Negra	No aplica	Ind, pro dem	Ninguna	No aplica	0
2000	Viudo	60	Negra	No aplica	Fuertemente demócrata	Católica	No aplica	NA
2000	Nunca se ha casado	76	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesias bautistas de EEUU	12
2000	Viudo	70	Negra	No aplica	No fuertemente demócrata	Protestante	Bautista, no sabe cuál	5
2000	Viudo	87	Negra	No sabe	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	10
2000	Viudo	70	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	NA
2000	Viudo	78	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesia metodista unida	0
2000	Nunca se ha casado	32	Negra	15000 - 19999	Fuertemente demócrata	Ninguna	No aplica	NA
2000	Nunca se ha casado	58	Negra	1000 - 2999	No fuertemente demócrata	Protestante	Otras metodistas	NA
2000	Nunca se ha casado	29	Negra	8000 - 9999	Ind, pro rep	Ninguna	No aplica	2
2000	Nunca se ha casado	39	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	NA
2000	Nunca se ha casado	44	Negra	No aplica	No fuertemente demócrata	Protestante	Otras metodistas	3
2000	Nunca se ha casado	40	Otra	25000 o más	Independiente	Ninguna	No aplica	1
2000	Nunca se ha casado	36	Otra	No aplica	Fuertemente demócrata	Católica	No aplica	5
2000	Casado	52	Blanca	Se niega a responder	No fuertemente republicano	Católica	No aplica	1
2000	Casado	41	Blanca	20000 - 24999	Fuertemente republicano	Protestante	Asociación bautista estadounidense	NA
2000	Separado	48	Negra	25000 o más	No fuertemente demócrata	Protestante	Bautista, no sabe cuál	3
2000	Nunca se ha casado	33	Blanca	20000 - 24999	Independiente	Ninguna	No aplica	4
2000	Viudo	65	Blanca	No aplica	Fuertemente demócrata	Católica	No aplica	NA
2000	Viudo	41	Blanca	25000 o más	Ind, pro dem	Católica	No aplica	NA
2000	Casado	58	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesias bautistas de EEUU	2
2000	Casado	48	Blanca	25000 o más	Ind, pro dem	Católica	No aplica	1
2000	Casado	63	Negra	No aplica	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	6
2000	Casado	43	Blanca	15000 - 19999	Independiente	Protestante	Otra	NA
2000	Casado	62	Blanca	10000 - 14999	Ind, pro dem	Protestante	No denominacional	NA
2000	Nunca se ha casado	48	Blanca	25000 o más	Independiente	Católica	No aplica	NA
2000	Casado	49	Blanca	Sin respuesta	Ind, pro dem	Ninguna	No aplica	2
2000	Divorciado	48	Blanca	25000 o más	Independiente	Protestante	No denominacional	4
2000	Nunca se ha casado	19	Blanca	1000 - 2999	No fuertemente republicano	Católica	No aplica	NA
2000	Casado	70	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	42	Blanca	25000 o más	No fuertemente republicano	Protestante	Otras luteranas	2
2000	Casado	36	Blanca	Se niega a responder	No fuertemente demócrata	Católica	No aplica	1
2000	Nunca se ha casado	30	Blanca	25000 o más	Independiente	Ninguna	No aplica	2
2000	Nunca se ha casado	32	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Iglesia luterana de EEUU	2
2000	Casado	36	Blanca	25000 o más	Fuertemente republicano	Protestante	Evangélica luterana	5
2000	Casado	38	Blanca	No aplica	Fuertemente republicano	Protestante	Iglesia luterana de EEUU	15
2000	Casado	58	Blanca	25000 o más	Ind, pro rep	Protestante	Iglesia luterana de EEUU	NA
2000	Casado	47	Blanca	No aplica	Otro partido	Católica	No aplica	1
2000	Casado	55	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	72	Blanca	No aplica	Fuertemente republicano	Protestante	Presbiteriana, fusionadas	2
2000	Casado	31	Blanca	Se niega a responder	Fuertemente republicano	Católica	No aplica	2
2000	Casado	45	Blanca	Se niega a responder	Fuertemente republicano	Judía	No aplica	NA
2000	Casado	45	Otra	Se niega a responder	Independiente	Ninguna	No aplica	0
2000	Viudo	85	Blanca	No aplica	Ind, pro rep	Protestante	Evangélica luterana	2
2000	Viudo	48	Negra	25000 o más	No fuertemente republicano	Católica	No aplica	1
2000	Casado	50	Blanca	Sin respuesta	Sin respuesta	Sin respuesta	Sin respuesta	2
2000	Casado	50	Blanca	25000 o más	No fuertemente demócrata	Judía	No aplica	2
2000	Casado	51	Blanca	25000 o más	Fuertemente demócrata	Judía	No aplica	2
2000	Divorciado	48	Blanca	25000 o más	Fuertemente demócrata	Protestante	Episcopal	NA
2000	Casado	45	Negra	No aplica	No fuertemente demócrata	Protestante	Bautista, no sabe cuál	NA
2000	Casado	39	Blanca	Menos de 1000	No fuertemente demócrata	Judía	No aplica	NA
2000	Nunca se ha casado	38	Blanca	25000 o más	No fuertemente demócrata	Protestante	Episcopal	1
2000	Nunca se ha casado	40	Blanca	25000 o más	Fuertemente demócrata	Judía	No aplica	NA
2000	Nunca se ha casado	33	Blanca	8000 - 9999	No fuertemente demócrata	Ninguna	No aplica	1
2000	Divorciado	56	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	NA
2000	Nunca se ha casado	67	Blanca	25000 o más	Fuertemente demócrata	Protestante	Evangélica luterana	1
2000	Nunca se ha casado	43	Negra	25000 o más	Fuertemente demócrata	Ninguna	No aplica	3
2000	Casado	56	Blanca	Se niega a responder	No fuertemente demócrata	Ninguna	No aplica	1
2000	Nunca se ha casado	48	Negra	No aplica	Fuertemente demócrata	Protestante	Asociación bautista estadounidense	NA
2000	Separado	32	Otra	No aplica	Fuertemente republicano	Protestante	Otra	4
2000	Nunca se ha casado	23	Negra	No aplica	Ind, pro rep	Protestante	Asociación bautista estadounidense	8
2000	Nunca se ha casado	28	Negra	No aplica	No fuertemente republicano	Católica	No aplica	6
2000	Divorciado	48	Negra	10000 - 14999	Fuertemente demócrata	Protestante	Asociación bautista estadounidense	4
2000	Viudo	77	Negra	3000 - 3999	Fuertemente demócrata	Católica	No aplica	2
2000	Separado	38	Negra	No aplica	Ind, pro dem	Protestante	Asociación bautista estadounidense	10
2000	Casado	40	Blanca	10000 - 14999	No fuertemente republicano	Católica	No aplica	NA
2000	Casado	39	Blanca	3000 - 3999	Ind, pro rep	Protestante	Asociación bautista estadounidense	2
2000	Separado	30	Blanca	25000 o más	Fuertemente demócrata	Ninguna	No aplica	1
2000	Divorciado	45	Blanca	25000 o más	Independiente	Inter o no confesional	No aplica	NA
2000	Divorciado	52	Blanca	8000 - 9999	Ind, pro dem	Ninguna	No aplica	2
2000	Nunca se ha casado	53	Blanca	25000 o más	No fuertemente demócrata	Protestante	Otra	3
2000	Casado	53	Blanca	10000 - 14999	No fuertemente republicano	Protestante	Episcopal	1
2000	Casado	39	Blanca	25000 o más	No fuertemente demócrata	Protestante	No denominacional	NA
2000	Casado	78	Blanca	No aplica	No fuertemente republicano	Protestante	Otra	5
2000	Casado	41	Blanca	25000 o más	No fuertemente demócrata	Ninguna	No aplica	5
2000	Casado	30	Blanca	No aplica	Fuertemente republicano	Protestante	No denominacional	11
2000	Nunca se ha casado	20	Blanca	1000 - 2999	Independiente	Católica	No aplica	NA
2000	Nunca se ha casado	26	Blanca	8000 - 9999	Ind, pro dem	Católica	No aplica	NA
2000	Nunca se ha casado	21	Blanca	25000 o más	Ind, pro dem	Católica	No aplica	5
2000	Casado	31	Blanca	Menos de 1000	No fuertemente demócrata	Ninguna	No aplica	2
2000	Casado	32	Otra	25000 o más	No fuertemente republicano	Católica	No aplica	2
2000	Separado	45	Blanca	25000 o más	Fuertemente demócrata	Protestante	Sínodo evangélico luterano de Wisconsin	1
2000	Casado	28	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	NA
2000	Nunca se ha casado	21	Blanca	20000 - 24999	No fuertemente demócrata	Católica	No aplica	3
2000	Casado	36	Blanca	25000 o más	Ind, pro dem	Ninguna	No aplica	NA
2000	Nunca se ha casado	35	Blanca	15000 - 19999	Otro partido	Ninguna	No aplica	2
2000	Divorciado	38	Blanca	25000 o más	Ind, pro dem	Inter o no confesional	No aplica	NA
2000	Nunca se ha casado	NA	Blanca	Se niega a responder	Fuertemente demócrata	Católica	No aplica	2
2000	Nunca se ha casado	28	Blanca	25000 o más	Otro partido	Protestante	No denominacional	0
2000	Nunca se ha casado	62	Blanca	8000 - 9999	Ind, pro dem	Católica	No aplica	NA
2000	Casado	53	Blanca	25000 o más	No fuertemente republicano	Protestante	Otra	NA
2000	Casado	27	Otra	25000 o más	No fuertemente demócrata	Ninguna	No aplica	NA
2000	Nunca se ha casado	45	Blanca	No aplica	Ind, pro dem	Católica	No aplica	6
2000	Casado	46	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	4
2000	Viudo	82	Blanca	No aplica	Fuertemente demócrata	Protestante	Iglesia luterana de EEUU	4
2000	Casado	56	Blanca	25000 o más	Ind, pro dem	Protestante	Iglesia metodista unida	5
2000	Nunca se ha casado	42	Blanca	3000 - 3999	Ind, pro dem	Católica	No aplica	NA
2000	Divorciado	66	Blanca	No aplica	Independiente	Protestante	No denominacional	8
2000	Casado	36	Otra	25000 o más	Fuertemente republicano	Cristiana	No aplica	1
2000	Separado	49	Blanca	25000 o más	Fuertemente demócrata	Otra	No aplica	1
2000	Casado	72	Blanca	25000 o más	Fuertemente demócrata	Ninguna	No aplica	2
2000	Casado	53	Blanca	No aplica	Independiente	Protestante	Otra	2
2000	Casado	42	Blanca	No aplica	No fuertemente republicano	Protestante	No denominacional	NA
2000	Viudo	79	Blanca	No aplica	Fuertemente republicano	Protestante	Episcopal	1
2000	Casado	50	Blanca	No aplica	Fuertemente republicano	Católica	No aplica	1
2000	Viudo	50	Otra	No aplica	No fuertemente demócrata	Protestante	Otra	4
2000	Casado	32	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	NA
2000	Nunca se ha casado	20	Otra	3000 - 3999	Fuertemente demócrata	Ninguna	No aplica	NA
2000	Casado	51	Blanca	25000 o más	Ind, pro dem	Protestante	Bautistas del sur	4
2000	Casado	35	Otra	6000 - 6999	No fuertemente demócrata	Budismo	No aplica	11
2000	Casado	54	Otra	15000 - 19999	No fuertemente demócrata	Católica	No aplica	1
2000	Viudo	65	Blanca	6000 - 6999	Fuertemente demócrata	Católica	No aplica	0
2000	Casado	36	Blanca	No aplica	Ind, pro rep	Católica	No aplica	4
2000	Casado	48	Blanca	25000 o más	Fuertemente demócrata	Judía	No aplica	NA
2000	Casado	54	Blanca	No aplica	Fuertemente republicano	Protestante	Otras bautistas	3
2000	Divorciado	62	Blanca	No aplica	Fuertemente demócrata	Protestante	Iglesia luterana americana	3
2000	Nunca se ha casado	51	Blanca	25000 o más	Ind, pro rep	Ninguna	No aplica	4
2000	Casado	38	Blanca	4000 - 4999	No fuertemente republicano	Ninguna	No aplica	NA
2000	Casado	85	Blanca	No aplica	No fuertemente republicano	Ninguna	No aplica	2
2000	Divorciado	67	Blanca	No aplica	Fuertemente republicano	Protestante	Metodista, no sabe cuál	1
2000	Casado	48	Blanca	10000 - 14999	Fuertemente republicano	Protestante	Asociación bautista estadounidense	1
2000	Nunca se ha casado	29	Blanca	25000 o más	Independiente	Católica	No aplica	NA
2000	Separado	64	Blanca	25000 o más	Ind, pro dem	Protestante	Metodista, no sabe cuál	1
2000	Divorciado	26	Blanca	25000 o más	Independiente	Protestante	Bautista, no sabe cuál	NA
2000	Viudo	72	Blanca	No aplica	No fuertemente demócrata	Protestante	Metodista, no sabe cuál	3
2000	Casado	58	Blanca	25000 o más	Fuertemente republicano	Católica	No aplica	NA
2000	Separado	45	Blanca	No aplica	No fuertemente demócrata	Ninguna	No aplica	8
2000	Viudo	49	Blanca	Se niega a responder	Independiente	Católica	No aplica	NA
2000	Casado	47	Blanca	25000 o más	Independiente	Católica	No aplica	3
2000	Nunca se ha casado	19	Blanca	Sin respuesta	Ind, pro rep	Católica	No aplica	NA
2000	Nunca se ha casado	37	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	1
2000	Casado	24	Negra	No aplica	Otro partido	Protestante	No denominacional	6
2000	Casado	43	Negra	25000 o más	Otro partido	Protestante	Asociación bautista estadounidense	4
2000	Nunca se ha casado	29	Blanca	25000 o más	Independiente	Protestante	Iglesia metodista unida	2
2000	Nunca se ha casado	26	Otra	10000 - 14999	No fuertemente demócrata	Ninguna	No aplica	2
2000	Nunca se ha casado	24	Blanca	25000 o más	Independiente	Ninguna	No aplica	2
2000	Divorciado	38	Negra	15000 - 19999	Ind, pro dem	Ninguna	No aplica	5
2000	Viudo	60	Negra	No sabe	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	4
2000	Separado	48	Negra	No aplica	Fuertemente demócrata	Protestante	Iglesias bautistas de EEUU	NA
2000	Divorciado	61	Negra	No aplica	Fuertemente demócrata	Protestante	Otra	3
2000	Viudo	59	Negra	No aplica	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	6
2000	Nunca se ha casado	59	Negra	No aplica	Fuertemente demócrata	Protestante	Iglesia africana metodista episcopal	NA
2000	Nunca se ha casado	31	Negra	No aplica	No fuertemente republicano	Protestante	Iglesia africana metodista episcopal	6
2000	Nunca se ha casado	34	Negra	5000 - 5999	Ind, pro dem	Protestante	Iglesias bautistas de EEUU	1
2000	Casado	NA	Negra	Se niega a responder	Independiente	Protestante	No denominacional	1
2000	Casado	32	Negra	10000 - 14999	Independiente	Católica	No aplica	4
2000	Nunca se ha casado	18	Negra	No aplica	Ind, pro rep	Católica	No aplica	NA
2000	Nunca se ha casado	32	Negra	15000 - 19999	Fuertemente demócrata	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	42	Negra	Se niega a responder	Independiente	Protestante	Bautista, no sabe cuál	6
2000	Divorciado	38	Negra	Se niega a responder	Ind, pro dem	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	25	Negra	7000 - 7999	No fuertemente demócrata	Protestante	Bautista, no sabe cuál	NA
2000	Divorciado	54	Negra	8000 - 9999	No fuertemente demócrata	Protestante	Bautistas del sur	6
2000	Casado	47	Negra	Menos de 1000	No fuertemente demócrata	Protestante	Iglesia luterana americana	10
2000	Nunca se ha casado	31	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	1
2000	Separado	40	Negra	Se niega a responder	Independiente	Católica	No aplica	3
2000	Separado	60	Negra	15000 - 19999	Fuertemente demócrata	Protestante	Iglesias bautistas de EEUU	8
2000	Nunca se ha casado	34	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesia luterana americana	NA
2000	Casado	36	Blanca	25000 o más	Fuertemente republicano	Protestante	No denominacional	NA
2000	Nunca se ha casado	43	Negra	No aplica	Fuertemente demócrata	Ninguna	No aplica	2
2000	Divorciado	28	Negra	15000 - 19999	Fuertemente demócrata	Protestante	Asociación bautista estadounidense	NA
2000	Nunca se ha casado	34	Negra	10000 - 14999	No fuertemente demócrata	Ninguna	No aplica	0
